"Wavelength (nm)", "Reflectance"
955.64, 0.132642
957.3, 0.120004
958.69, 0.108708
960.35, 0.095482
962.01, 0.082813
963.4, 0.072254
965.06, 0.061577
966.72, 0.053291
968.12, 0.048275
969.77, 0.045938
971.43, 0.047576
973.08, 0.053653
974.73, 0.063726
976.14, 0.075577
977.78, 0.091745
979.43, 0.111419
980.85, 0.130426
982.49, 0.156948
984.13, 0.186511
985.56, 0.214854
987.2, 0.248175
988.84, 0.281448
990.48, 0.311351
992.11, 0.338127
993.54, 0.35804
995.18, 0.37957
996.81, 0.399047
998.25, 0.415508
999.88, 0.432814
1001.52, 0.448989
1003.14, 0.463035
1004.77, 0.475108
1006.22, 0.483669
1007.84, 0.491411
1009.47, 0.497126
1010.92, 0.500845
1012.55, 0.503417
1014.17, 0.504243
1015.79, 0.503945
1017.41, 0.502126
1018.87, 0.498948
1020.49, 0.493722
1022.1, 0.486945
1023.57, 0.479284
1025.19, 0.469492
1026.8, 0.458339
1028.41, 0.4462
1030.02, 0.432676
1031.5, 0.419366
1033.11, 0.403454
1034.72, 0.38649
1036.2, 0.36977
1037.81, 0.351248
1039.42, 0.33237
1041.02, 0.313878
1042.63, 0.296205
1044.12, 0.281362
1045.72, 0.267424
1047.32, 0.256453
1048.92, 0.249313
1050.52, 0.246735
1052.02, 0.248625
1053.62, 0.255595
1055.21, 0.267805
1056.72, 0.283719
1058.32, 0.304424
1059.91, 0.328608
1061.5, 0.355721
1063.09, 0.38455
1064.61, 0.413023
1066.2, 0.443023
1067.79, 0.472792
1069.38, 0.501214
1070.96, 0.528046
1072.49, 0.552581
1074.08, 0.576074
1075.66, 0.597381
1077.24, 0.616282
1078.82, 0.633502
1080.36, 0.648321
1081.94, 0.661555
1083.52, 0.672582
1085.07, 0.681993
1086.65, 0.690164
1088.22, 0.696808
1089.8, 0.702021
1091.37, 0.705688
1092.93, 0.708328
1094.5, 0.710414
1096.08, 0.711582
1097.65, 0.711952
1099.22, 0.711423
1100.79, 0.709979
1102.36, 0.707797
1103.92, 0.703975
1105.49, 0.699325
1107.06, 0.69378
1108.63, 0.687639
1110.2, 0.680398
1111.77, 0.672329
1113.33, 0.663034
1114.9, 0.653163
1116.47, 0.641697
1118.03, 0.629097
1119.6, 0.615075
1121.17, 0.600795
1122.73, 0.585193
1124.3, 0.569138
1125.87, 0.551167
1127.43, 0.533191
1129, 0.514218
1130.56, 0.495623
1132.13, 0.476561
1133.69, 0.45896
1135.26, 0.442421
1136.82, 0.428965
1138.39, 0.418048
1139.95, 0.411088
1141.51, 0.408148
1143.08, 0.409602
1144.64, 0.416277
1146.2, 0.428026
1147.77, 0.445015
1149.33, 0.465531
1150.89, 0.489827
1152.45, 0.515865
1154.02, 0.544517
1155.58, 0.572921
1157.14, 0.601367
1158.7, 0.627927
1160.26, 0.653959
1161.82, 0.677776
1163.39, 0.70029
1164.95, 0.720206
1166.51, 0.738193
1168.07, 0.753952
1169.63, 0.768298
1171.19, 0.780838
1172.75, 0.791732
1174.31, 0.800649
1175.87, 0.808436
1177.42, 0.815053
1178.98, 0.820859
1180.54, 0.825709
1182.1, 0.829133
1183.66, 0.831674
1185.22, 0.83321
1186.77, 0.833765
1188.33, 0.833624
1189.89, 0.832785
1191.45, 0.831147
1193, 0.829158
1194.56, 0.826423
1196.12, 0.823636
1197.67, 0.820894
1199.23, 0.817848
1200.79, 0.8142
1202.34, 0.810279
1203.9, 0.805477
1205.45, 0.800027
1207.01, 0.793667
1208.56, 0.786498
1210.12, 0.778223
1211.67, 0.768872
1213.23, 0.758025
1214.78, 0.745964
1216.33, 0.732627
1217.89, 0.717889
1219.44, 0.701685
1220.99, 0.683932
1222.55, 0.664726
1224.1, 0.644879
1225.65, 0.625112
1227.21, 0.606324
1228.76, 0.589365
1230.31, 0.575688
1231.86, 0.566373
1233.41, 0.562675
1234.96, 0.565618
1236.52, 0.575373
1238.07, 0.591538
1239.62, 0.613436
1241.17, 0.639862
1242.72, 0.669679
1244.27, 0.700962
1245.82, 0.732611
1247.37, 0.762605
1248.92, 0.790253
1250.47, 0.814655
1252.02, 0.835765
1253.57, 0.853318
1255.11, 0.867699
1256.66, 0.878942
1258.21, 0.887906
1259.76, 0.894298
1261.31, 0.899159
1262.86, 0.90259
1264.4, 0.90476
1265.95, 0.906262
1267.5, 0.906881
1269.04, 0.907042
1270.59, 0.906087
1272.14, 0.904832
1273.68, 0.903573
