"Wavelength (nm)", "Reflectance"
968.12, 0.049544
969.77, 0.058199
971.43, 0.071508
973.08, 0.089326
974.73, 0.110405
976.14, 0.130804
977.78, 0.155043
979.43, 0.180795
980.85, 0.203518
982.49, 0.232344
984.13, 0.262291
985.56, 0.289362
987.2, 0.319869
988.84, 0.349024
990.48, 0.374025
992.11, 0.395721
993.54, 0.411616
995.18, 0.428363
996.81, 0.442946
998.25, 0.454858
999.88, 0.467041
1001.52, 0.477402
1003.14, 0.485683
1004.77, 0.491992
1006.22, 0.496101
1007.84, 0.498945
1009.47, 0.500317
1010.92, 0.500115
1012.55, 0.498521
1014.17, 0.494988
1015.79, 0.49023
1017.41, 0.483892
1018.87, 0.4772
1020.49, 0.468119
1022.1, 0.457746
1023.57, 0.446869
1025.19, 0.433637
1026.8, 0.41875
1028.41, 0.402838
1030.02, 0.385847
1031.5, 0.369904
1033.11, 0.351522
1034.72, 0.332853
1036.2, 0.315595
1037.81, 0.297796
1039.42, 0.28087
1041.02, 0.26638
1042.63, 0.254897
1044.12, 0.247634
1045.72, 0.243696
1047.32, 0.244629
1048.92, 0.250694
1050.52, 0.261809
1052.02, 0.276683
1053.62, 0.296802
1055.21, 0.321054
1056.72, 0.346687
1058.32, 0.375467
1059.91, 0.404877
1061.5, 0.434955
1063.09, 0.464434
1064.61, 0.491502
1066.2, 0.518532
1067.79, 0.544363
1069.38, 0.56839
1070.96, 0.59009
1072.49, 0.609069
1074.08, 0.626485
1075.66, 0.641225
1077.24, 0.653423
1078.82, 0.663931
1080.36, 0.67261
1081.94, 0.680297
1083.52, 0.686873
1085.07, 0.692087
1086.65, 0.696852
1088.22, 0.700397
1089.8, 0.702673
1091.37, 0.703833
1092.93, 0.703817
1094.5, 0.702763
1096.08, 0.701151
1097.65, 0.698274
1099.22, 0.694945
1100.79, 0.690637
1102.36, 0.685637
1103.92, 0.679622
1105.49, 0.672634
1107.06, 0.664064
1108.63, 0.65516
1110.2, 0.645231
1111.77, 0.634183
1113.33, 0.62122
1114.9, 0.607731
1116.47, 0.593027
1118.03, 0.577516
1119.6, 0.56005
1121.17, 0.54216
1122.73, 0.523413
1124.3, 0.504971
1125.87, 0.485649
1127.43, 0.467324
1129, 0.449708
1130.56, 0.434275
1132.13, 0.420659
1133.69, 0.410498
1135.26, 0.404057
1136.82, 0.402115
1138.39, 0.405096
1139.95, 0.413308
1141.51, 0.426898
1143.08, 0.444185
1144.64, 0.465941
1146.2, 0.490215
1147.77, 0.51733
1149.33, 0.544554
